"rep","query","strategy","elapsed","rows","df_mb","peak_rss_mb","rsqlite","table_rows","chunk","platform","r","nanoarrow","sqlite","date"
1,"all","baseline",0.00800000000000001,0,NA,100.30859375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default",19.074,5e+06,410.656135559082,778.80078125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df",14.721,5e+06,410.656135559082,1181.37890625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_stream",12.81,5e+06,448.803108215332,1050.0859375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default_chunked",9.075,5e+06,NA,199.21875,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df_chunked",3.56,5e+06,NA,329.77734375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_drain",4.105,5e+06,NA,465.86328125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","baseline",0.011,0,NA,100.3125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default",3.397,5e+06,76.2948837280273,254.65234375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df",2.935,5e+06,76.2948837280273,489.5078125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_stream",1.96,5e+06,114.441856384277,336.36328125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default_chunked",3.47,5e+06,NA,160.06640625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df_chunked",2.565,5e+06,NA,191.01171875,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_drain",1.885,5e+06,NA,268.6328125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","baseline",0.011,0,NA,100.28125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","default",13.7,5e+06,334.361831665039,634.84375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_df",10.904,5e+06,334.361831665039,750.52734375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_stream",10.777,5e+06,334.361831665039,751.00390625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","default_chunked",6.298,5e+06,NA,192.16015625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_df_chunked",1.991,5e+06,NA,340.58203125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","arrow_drain",1.927,5e+06,NA,344.9140625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","baseline",0.0109999999999999,0,NA,100.2890625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","default",4.702,1501935,140.758407592773,315.734375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_df",4.151,1501935,140.758407592773,443.65234375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_stream",3.796,1501935,152.217254638672,407.62890625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","default_chunked",3.012,1501935,NA,179.41796875,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
