"rep","query","strategy","elapsed","rows","df_mb","peak_rss_mb","rsqlite","table_rows","chunk","platform","r","nanoarrow","sqlite","date"
1,"filtered","arrow_df_chunked",0.421,300211,NA,165.015625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_drain",0.362,300211,NA,129.72265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","baseline",0.017,0,NA,100.25,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","default",3.391,1e+06,97.0243911743164,250.7890625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_df",2.265,1e+06,97.0243911743164,326.83203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_stream",2.166,1e+06,104.653785705566,305.94921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","default_chunked",2.066,1e+06,NA,178.69921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_df_chunked",0.812,1e+06,NA,233.73046875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_drain",0.879,1e+06,NA,184.58203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","baseline",0.012,0,NA,100.265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","default",0.81,1e+06,15.2597274780273,132.7265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_df",0.63,1e+06,15.2597274780273,202.859375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_stream",0.455,1e+06,22.8891220092773,152.8359375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","default_chunked",0.818,1e+06,NA,135.89453125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_df_chunked",0.607,1e+06,NA,186.80078125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_drain",0.509,1e+06,NA,139.7578125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","baseline",0.0199999999999999,0,NA,100.13671875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","default",2.295,1e+06,81.7652435302734,220.1484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_df",1.727,1e+06,81.7652435302734,248.99609375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_stream",1.842,1e+06,81.7652435302734,252.44921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","default_chunked",1.642,1e+06,NA,163.65234375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_df_chunked",0.557,1e+06,NA,157.28125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_drain",0.594,1e+06,NA,153.73828125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","baseline",0.02,0,NA,100.29296875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","default",0.894,300211,33.2605743408203,160.51171875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_df",0.757,300211,33.2605743408203,189.92578125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_stream",0.66,300211,35.5509948730469,176.2578125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","default_chunked",0.877,300211,NA,149.8125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_df_chunked",0.505,300211,NA,165.1953125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_drain",0.419,300211,NA,129.91015625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","baseline",0.015,0,NA,100.3203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","default",3.287,1e+06,97.0243911743164,250.85546875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","arrow_df",1.917,1e+06,97.0243911743164,326.734375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","arrow_stream",2.016,1e+06,104.653785705566,305.81640625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","default_chunked",2.046,1e+06,NA,178.56640625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","arrow_df_chunked",0.758,1e+06,NA,233.85546875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"all","arrow_drain",0.652,1e+06,NA,184.6484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","baseline",0.0109999999999999,0,NA,100.27734375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","default",0.506,1e+06,15.2597274780273,132.69140625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","arrow_df",0.575,1e+06,15.2597274780273,202.90234375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","arrow_stream",0.414,1e+06,22.8891220092773,152.84375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","default_chunked",0.672,1e+06,NA,135.890625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","arrow_df_chunked",0.525,1e+06,NA,186.9453125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"numbers","arrow_drain",0.409,1e+06,NA,139.74609375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","baseline",0.00900000000000001,0,NA,100.1953125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","default",1.882,1e+06,81.7652435302734,220.1484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","arrow_df",1.351,1e+06,81.7652435302734,249.09765625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","arrow_stream",1.356,1e+06,81.7652435302734,252.37109375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","default_chunked",1.109,1e+06,NA,163.44921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","arrow_df_chunked",0.461,1e+06,NA,157.4140625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"strings","arrow_drain",0.388,1e+06,NA,153.75,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","baseline",0.016,0,NA,100.3046875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","default",0.663,300211,33.2605743408203,160.6015625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","arrow_df",0.533,300211,33.2605743408203,189.8203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","arrow_stream",0.454,300211,35.5509948730469,176.3203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","default_chunked",0.619,300211,NA,149.70703125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","arrow_df_chunked",0.334,300211,NA,165.234375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
3,"filtered","arrow_drain",0.295,300211,NA,129.85546875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
