"rep","query","strategy","elapsed","rows","df_mb","peak_rss_mb","rsqlite","table_rows","chunk","platform","r","nanoarrow","sqlite","date"
1,"all","baseline",0.012,0,NA,100.22265625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default",18.648,5e+06,410.656135559082,778.70703125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df",12.749,5e+06,410.656135559082,923.34765625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_stream",11.493,5e+06,448.803108215332,1049.28125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","default_chunked",9.177,5e+06,NA,198.953125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_df_chunked",7.181,5e+06,NA,230.8671875,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"all","arrow_drain",3.033,5e+06,NA,213.5,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","baseline",0.00800000000000001,0,NA,100.1484375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default",3.386,5e+06,76.2948837280273,254.65625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df",2.226,5e+06,76.2948837280273,361.46484375,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_stream",1.948,5e+06,114.441856384277,336.55078125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","default_chunked",3.158,5e+06,NA,160.140625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_df_chunked",1.965,5e+06,NA,182.2421875,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"numbers","arrow_drain",1.711,5e+06,NA,200.75390625,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","baseline",0.012,0,NA,100.29296875,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"strings","default",13.179,5e+06,334.361831665039,634.76953125,"3.53.3.9012",5000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
