"rep","query","strategy","elapsed","rows","df_mb","peak_rss_mb","rsqlite","table_rows","chunk","platform","r","nanoarrow","sqlite","date"
1,"filtered","arrow_df_chunked",0.544,300211,NA,167.6484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
1,"filtered","arrow_drain",0.302,300211,NA,130.0078125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","baseline",0.014,0,NA,100.2265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","default",2.797,1e+06,97.0243911743164,250.70703125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_df",1.936,1e+06,97.0243911743164,279.69921875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_stream",1.838,1e+06,104.653785705566,305.1875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","default_chunked",1.641,1e+06,NA,178.69140625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_df_chunked",1.409,1e+06,NA,213.37109375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"all","arrow_drain",0.658,1e+06,NA,184.91796875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","baseline",0.011,0,NA,100.32421875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","default",0.668,1e+06,15.2597274780273,132.640625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_df",0.416,1e+06,15.2597274780273,170.1484375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_stream",0.384,1e+06,22.8891220092773,152.87890625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","default_chunked",0.691,1e+06,NA,135.85546875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_df_chunked",0.444,1e+06,NA,152.59375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"numbers","arrow_drain",0.39,1e+06,NA,139.89453125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","baseline",0.0109999999999999,0,NA,100.38671875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","default",2.063,1e+06,81.7652435302734,220.23828125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_df",1.364,1e+06,81.7652435302734,256.23046875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_stream",1.345,1e+06,81.7652435302734,252.1328125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","default_chunked",1.143,1e+06,NA,163.47265625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_df_chunked",1.081,1e+06,NA,203.08984375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"strings","arrow_drain",0.317,1e+06,NA,154.45703125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","baseline",0.019,0,NA,100.24609375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","default",0.674,300211,33.2605743408203,160.62109375,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_df",0.654,300211,33.2605743408203,194.04296875,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_stream",0.516,300211,35.5509948730469,176.33203125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","default_chunked",0.626,300211,NA,149.70703125,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
2,"filtered","arrow_df_chunked",0.547,300211,NA,167.50390625,"3.53.3.9012",1000000,10000,"x86_64-pc-linux-gnu","R version 4.5.3 (2026-03-11)","0.9.0","3.53.4","2026-09-26"
